Tipo,Nombre,Anno_estreno,Mes_estreno,Id_peli,Genero
Movie,Tekken,2010,3,tt0411951,Action
Movie,Venus & Vegas,2010,11,tt0423474,Action
Movie,The A-Team,2010,6,tt0429493,Action
Movie,Segurança Nacional,2010,5,tt0439801,Action
Movie,Scott Pilgrim vs. the World,2010,11,tt0446029,Action
Movie,Taken by Force,2010,,tt0465637,Action
Movie,"Guns, Drugs and Dirty Money",2010,,tt0464032,Action
Movie,Komaram Puli,2010,9,tt0464162,Action
Movie,Prince of Persia: The Sands of Time,2010,5,tt0473075,Action
Movie,Unstoppable,2010,12,tt0477080,Action
Movie,The Losers,2010,4,tt0480255,Action
Movie,Clash of the Titans,2010,4,tt0800320,Action
Movie,Cross the Line,2010,11,tt0810815,Action
Movie,Gangster Exchange,2010,2,tt0846004,Action
Movie,Zenitram,2010,5,tt0861747,Action
Movie,How to Train Your Dragon,2010,3,tt0892769,Action
Movie,Westbrick Murders,2010,5,tt0903036,Action
Movie,House Under Siege,2010,3,tt0914823,Action
Movie,The Dead Undead,2010,5,tt0923653,Action
Movie,The Waiter,2010,3,tt0934981,Action
Movie,The Last Airbender,2010,8,tt0938283,Action
Movie,Salt,2010,8,tt0944835,Action
Movie,Green Zone,2010,4,tt0947810,Action
Movie,Robin Hood,2010,5,tt0955308,Action
Movie,Private Security Officer: Los Angeles,2010,12,tt0960827,Action
Movie,The Sorcerer's Apprentice,2010,7,tt0963966,Action
Movie,The Fighter,2010,3,tt0964517,Action
Movie,White Wall,2010,5,tt0969653,Action
Movie,Headhunter: The Assessment Weekend,2010,8,tt0973809,Action
Movie,Sinatra Club,2010,9,tt0975738,Action
Movie,Boyle Heights,2010,,tt0977639,Action
Movie,Machete,2010,9,tt0985694,Action
Movie,Adventure Scouts,2010,10,tt0994917,Action
Movie,Megamind,2010,12,tt1001526,Action
Movie,He - The Only One,2010,,tt10087304,Action
Movie,Knight and Day,2010,7,tt1013743,Action
Movie,Dylan Dog: Dead of Night,2010,4,tt1013860,Action
Movie,Deal,2010,,tt1020011,Action
Movie,Centurion,2010,5,tt1020558,Action
Movie,Kill Speed,2010,6,tt1027683,Action
Movie,The Warrior's Way,2010,12,tt1032751,Action
Movie,The Book of Eli,2010,3,tt1037705,Action
Movie,Legion,2010,1,tt1038686,Action
Movie,The King of Fighters,2010,8,tt1038685,Action
Movie,The Bounty Hunter,2010,4,tt1038919,Action
Movie,The Nutcracker in 3D,2010,12,tt1041804,Action
Movie,Repo Men,2010,6,tt1053424,Action
Movie,Bhairava IPS,2010,9,tt10622122,Action
Movie,Bare Knuckles,2010,,tt1063327,Action
Movie,Private Number,2010,7,tt10751652,Action
Movie,Beyond the Grave,2010,2,tt1075642,Action
Movie,Jonah Hex,2010,9,tt1075747,Action
Movie,Elimination,2010,6,tt1078597,Action
Movie,Krews,2010,3,tt1078583,Action
Movie,Jerry Cotton,2010,3,tt1080019,Action
Movie,Pusher,2010,10,tt1082075,Action
Movie,Deadly Impact,2010,7,tt1082577,Action
Movie,Mexican Bloodbath,2010,2,tt1084717,Action
Movie,Orsova Noua 5: Epilog,2010,,tt10931336,Action
Movie,The Rig,2010,10,tt1093906,Action
Movie,Frenchy,2010,1,tt1286146,Action
Movie,Killers,2010,6,tt1103153,Action
Movie,TRON: Legacy,2010,1,tt1104001,Action
Movie,You Have the Right to Remain Violent,2010,5,tt1107855,Action
Movie,Seres: Genesis,2010,9,tt1114731,Action
Movie,Jackass 3D,2010,10,tt1116184,Action
Movie,Di renjie: Tong tian di guo,2010,9,tt1123373,Action
Movie,The Beautiful Outsiders,2010,,tt11274532,Action
Movie,Sisanje,2010,10,tt1129437,Action
Movie,Sinners and Saints,2010,8,tt1130969,Action
Movie,Takers,2010,11,tt1135084,Action
Movie,Krach,2010,9,tt1135083,Action
Movie,Undercover Rascals,2010,10,tt11361770,Action
Movie,Tales of an Ancient Empire,2010,7,tt1136688,Action
Movie,Moo-jeok-ja,2010,9,tt1138442,Action
Movie,The Karate Kid,2010,7,tt1155076,Action
Movie,L'immortel,2010,5,tt1167638,Action
Movie,Jabroo Te Nizam,2010,10,tt11755644,Action
Movie,From Paris with Love,2010,3,tt1179034,Action
Movie,Les aventures extraordinaires d'Adèle Blanc-Sec,2010,4,tt1179025,Action
Movie,Black Death,2010,6,tt1181791,Action
Movie,Bunraku,2010,11,tt1181795,Action
Movie,Barcelona vs Real Madrid,2010,11,tt11823092,Action
Movie,Stag Night of the Dead,2010,10,tt1183489,Action
Movie,Veer,2010,1,tt1185412,Action
Movie,Kung Fu Magoo,2010,5,tt1186365,Action
Movie,Dogs of Chinatown,2010,,tt1188482,Action
Movie,Toonpur Ka Superrhero,2010,12,tt1189006,Action
Movie,Corrado,2010,6,tt1193473,Action
Movie,Denizen,2010,4,tt1194424,Action
Movie,FC Barcelona vs Hércules CF,2010,9,tt11947600,Action
Movie,Kites,2010,5,tt1198101,Action
Movie,Birmingham City vs Tottenham Hotspur,2010,1,tt11992716,Action
Movie,Id,2010,5,tt1201661,Action
Movie,Innocent,2010,1,tt1202232,Action
Movie,Shadows in Paradise,2010,2,tt1212442,Action
Movie,Mercy,2010,6,tt1213590,Action
Movie,Tic,2010,,tt1217301,Action
Movie,Legend of the Guardians: The Owls of Ga'Hoole,2010,9,tt1219342,Action
