Tipo,Nombre,Anno_estreno,Mes_estreno,Id_peli,Genero
Movie,Multiverso,2024,6,tt10225380,Action
Movie,Detour 95,2024,10,tt10844184,Action
Movie,The Legend of Johnny Jones,2024,10,tt10928904,Action
Movie,Slasher House 3,2024,3,tt11078340,Action
Movie,Clank and the Golden Scar,2024,10,tt11374514,Action
Movie,Furiosa: A Mad Max Saga,2024,5,tt12037194,Action
Movie,The Passion of the Gods,2024,6,tt12193500,Action
Movie,Danya,2024,,tt12529250,Action
Movie,Adrienne,2024,,tt13143064,Action
Movie,Hitpig,2024,,tt13176330,Action
Movie,1242: Gateway to the West,2024,9,tt13542474,Action
Movie,Mnemonix,2024,12,tt13590374,Action
Movie,Fighter,2024,1,tt13818368,Action
Movie,L'Inferno (Remastered),2024,9,tt14114688,Action
Movie,Guntur Kaaram,2024,1,tt14564000,Action
Movie,Argylle,2024,2,tt15009428,Action
Movie,Nothing Unusual,2024,10,tt15127142,Action
Movie,Dune: Deuxième partie,2024,2,tt15239678,Action
Movie,Sunset Shimmer and the Acidic Universe of Makori,2024,12,tt15535164,Action
Movie,Superman: Jubilation,2024,5,tt15661136,Action
Movie,Hoodie Girls Gang,2024,11,tt3663576,Action
Movie,Jessica Frost,2024,9,tt4519000,Action
Movie,Residence,2024,6,tt5260932,Action
Movie,The Tiger's Apprentice,2024,2,tt5834410,Action
Movie,Kraven the Hunter,2024,12,tt8790086,Action
Movie,Rigged,2024,,tt16401200,Action
Movie,Trail Blazers: The Aftermath (Part 1),2024,,tt15716012,Action
Movie,Yodha,2024,3,tt16139258,Action
Movie,Sheran Di Kaum Punjabi,2024,4,tt16867258,Action
Movie,Dying for Living,2024,12,tt17074300,Action
Movie,Dead Heist,2024,10,tt17506650,Action
Movie,Bade Miyan Chote Miyan,2024,4,tt18072316,Action
Movie,Luna in Love,2024,11,tt18340690,Action
Movie,Two Worlds Back,2024,,tt19314966,Action
Movie,The Last Aztec Warrior,2024,5,tt19892640,Action
Movie,IJ Inspector Jamshed,2024,12,tt20873392,Action
Movie,Kung Fu Panda 4,2024,3,tt21692408,Action
Movie,Lal Salaam,2024,2,tt23461428,Action
Movie,Meinong's Jungle,2024,6,tt22062956,Action
Movie,Karate Kid,2024,6,tt22084516,Action
Movie,Agent Narasimha-117,2024,1,tt24948640,Action
Movie,Le Comte de Monte-Cristo,2024,6,tt26446278,Action
Movie,The Dark Face,2024,8,tt26685948,Action
Movie,Blindazh,2024,4,tt26909097,Action
Movie,Dark Fusion,2024,6,tt27124438,Action
Movie,The Experts,2024,5,tt27162200,Action
Movie,Blood Pressure,2024,2,tt27168272,Action
Movie,Cheese,2024,por estrenar,tt27261550,Action
Movie,Diamonds and Pearls,2024,1,tt27439361,Action
