nombre_actor,anno_nacimiento,peliculas,que_hace,premios
Macy Minear,0,"['All of You Will Die', 'Deadly Cheers', 'Share?', 'Hurtcore']",['Reparto'],1
Yana Sheuko,0,"['Hurtcore', 'The Host App', 'LIVE FEED: Breakdown', 'Gaslit']",['Reparto'],1
Sasha Prince,0,"['Hurtcore', 'Justice League Dark: Best of the Worst', ""Kyle's Pocket Dial"", 'Hollywood Laundromat']","['Reparto', 'Decoración']",1
Spencer Vaughn Kelly,0,"['WordLotto', 'Hurtcore', 'The Shell', 'Bonus Trip']","['Reparto', 'Dirección', 'Guion']",4
Kaleb Anthony,0,"['Hurtcore', 'Still Standing', 'None', 'None']","['Reparto', 'Equipos adicionales']",1
Patriana Jones,0,"['Climax: The Web-Series', 'Consent', 'Sorrow Is the Most Ennobling Emotion', 'None']","['Reparto', 'Guion', 'Producción']",1
Kimiko McCarthy,0,"['Love & Us', 'Consent', 'None', 'None']",['Reparto'],1
Romel Rose,0,"[""America's Pit Bull"", 'Because of the Internet', 'High Yellow', 'John']","['Reparto', 'Equipos adicionales', 'Producción']",3
Danielle Sappleton,0,"['The Super Pops', 'The Rap Pops', 'Jinn', 'Big Bear Weekend: Tangled Wed of Deceit']","['Reparto', 'Música']",3
Didier Bourdon,1959,"['3 hermanos... muy primos', 'Un buen año', 'Madame Irma', '3 hermanos y una herencia']","['Reparto', 'Guion', 'Dirección']",3
Gérard Darmon,1948,"['Astérix y Obélix: Misión Cleopatra', 'Betty Blue', 'El buen ladrón', 'Vous êtes jeunes vous êtes beaux']","['Reparto', 'Guion', 'Cámara y electricidad']",2
Paloma Coquant,1989,"['7 días en Entebbe', 'Munch', 'Arthur Curse', 'Bright Minds']",['Reparto'],2
Chantal Lauby,1948,"['La jaula dorada', 'Tus manos en mi cintura', 'Dios mío, ¿pero qué te hemos hecho?', 'Astérix y Obélix: Misión Cleopatra']","['Reparto', 'Guion', 'Dirección']",2
Niina Koponen,0,"['Ollaan vapaita', 'Rat King', 'Theon talo', 'Putous']","['Reparto', 'Guion', 'Vestuario']",0
Ada Forsberg,0,"['Juha', 'Juhannusyö', 'Sijainen', 'Luottomies']","['Reparto', 'Especialistas']",0
Kaisa Hela,0,"['Piiritys', 'Dyykkivuoro', 'Kummeli V', 'Kontio & Parmas']","['Reparto', 'Guion', 'Producción']",0
Asko Vaarala,0,"['Vähän kunnioitusta', 'Onnesta', 'Kosta (The paradise)', 'Nöyryydestä']","['Reparto', 'Música', 'Banda sonora']",0
Pyry Nikkilä,0,"['Love Records - anna mulle Lovee', 'Sekunnit', 'Ollaan vapaita', 'Kaikki huutaa Dingo!']","['Reparto', 'Música', 'Banda sonora']",0
Graeme Bernier,0,"['Carissima (Dearest)', 'Baby Teeth', 'Revel', 'None']",['Reparto'],0
Elizabeth Blanco,0,"['Lucid', 'The Museum of the Abortion Wars', 'The Author', 'Bunk Beds']",['Reparto'],0
Anik Desmarais-Spencer,0,"['Carissima (Dearest)', 'Baby Teeth', 'Slip', 'All-In Madonna']","['Dirección', 'Guion', 'Producción']",0
George William Lambert,0,"['Lucid', 'Carissima (Dearest)', 'Baby Teeth', 'None']",['Reparto'],0
Missie Peters,0,"['Carissima (Dearest)', 'None', 'None', 'None']",['Reparto'],0
Maija Makila,0,"['Sigue el ritmo', 'Amour', 'The Next Step', 'None']","['Reparto', 'Maquillaje']",0
Delaney Weller,0,"['Amour', 'None', 'None', 'None']","['Reparto', 'Maquillaje']",0
Danielle Yvie Chambers,0,"['Chucky', 'TallBoyz', 'Venganza: Orígenes', 'Open Heart']",['Reparto'],0
Michael Lake,0,"['Edwin', 'The Treatment', 'After Mum', 'Purgatory']","['Reparto', 'Producción', 'Guion']",19
Zoe Alexa De Guzman,0,"['Amour', 'None', 'None', 'None']",['Reparto'],19
Maya Jain,0,"['Amour', 'Untitled', 'Shattered', 'The Art of Moving Forward']","['Reparto', 'Dirección', 'Guion']",0
Kaylyn Henricus,0,"['Amour', 'The Art of Moving Forward', 'None', 'None']","['Reparto', 'Composición']",0
Clara Moniz,0,"['Amour', 'None', 'None', 'None']",['Reparto'],0
Jessica Pace,0,"['The Wilderness Night', 'None', 'None', 'None']",['Reparto'],0
Shyanne Rego,0,"['Amour', 'None', 'None', 'None']",['Reparto'],0
Patrik Humený,0,"['Zlehka', 'Srdcové Eso', 'Polibek Reality', 'Barvy Osudu']","['Reparto', 'Dirección', 'Sonido']",0
Tereza Chalusová,0,"['Polibek Reality', 'Zkus to znovu', 'None', 'None']","['Reparto', 'Sonido']",0
