0;1;2;3;4;5
1;Kunchacko Boban;1976;[''];['Reparto', 'Producción'];Sin Oscar
2;Victor Ijdens;No data;['Flikken Maastricht', '2021 • 1 episodio', '2019', 'Hermann Göring (jong)(as Victor IJdens)', 'Wes'];['Reparto'];Sin oscar
3;Jero Medina;No data;No data;No data;Sin oscar
4;Dennis Marin;No data;[''];['Reparto', 'Arte', 'Especialistas'];Sin oscar
5;Philippe Caland;No data;['Ripple Effect', 'Mi obsesión por Helena', 'Arrepentimiento', 'In Her Name'];['Producción', 'Reparto', 'Guion'];Sin Oscar
6;Kunle Busari;No data;['Pero', 'Olukosi'];['Reparto', 'Equipos adicionales'];Sin oscar
7;Bryann Alexander;No data;['Jookin'];['Reparto'];Sin oscar
8;Jehnny Beth;1984;[''];['Reparto', 'Composición', 'Guion'];Sin Oscar
9;Stephanie van Eer;No data;['Spangas', '2015–2018 • 524 episodios', '2018', '2017', '2016'];['Reparto'];Sin oscar
10;Andrés Lima;1961;['Policías, en el corazón de la calle', '2000–2003 • 81 episodios', '2006', '2001', 'Dirección'];['Reparto', 'Dirección', 'Guion'];Sin oscar
11;Juliana Hale;No data;[''];['Reparto', 'Composición', 'Música'];Sin Oscar
12;Siddhant Kapoor;1984;['Ugly', 'Coke', 'Joe', 'Little Rangeela'];['Reparto'];Sin oscar
13;Silu Seppälä;1954;[''];['Reparto', 'Música', 'Composición'];Sin Oscar
14;Willie Taylor;No data;[''];['Reparto', 'Composición', 'Producción'];Sin oscar
15;Jia Vaidya;No data;"['Jayeshbhai Jordaar', ""It's Not That Simple"", '2018 • 3 episodios']";['Reparto'];Sin oscar
16;Leona Clarke;1993;[''];['Reparto', 'Producción', 'Dirección de producción'];Sin Oscar
17;Michele Pereira Da Paz;No data;['Ti mangio il cuore', 'Mixed by Erry', 'Sono Lillo', '2023 • 2 episodios'];['Reparto'];Sin oscar
18;Tahjjic Smith;No data;['Just Between Us Girls', '3,8', 'Videoclip', 'Serie de TV'];['Reparto'];Sin oscar
19;Carlos Berber;No data;[''];['Guion', 'Dirección', 'Dirección de fotografía y cámara'];Sin Oscar
20;Al Madrigal;1971;[''];['Reparto', 'Producción', 'Guion'];Sin Oscar
21;Varun Sharma;1990;[''];['Reparto'];Sin Oscar
22;Peggy J. Scott;No data;[''];['Reparto'];Sin oscar
23;Ramón Langa;1959;['Los fantasmas de Goya', 'Minotauro', 'El Ministerio del Tiempo', '2015–2016 • 3 episodios', 'XIII(Spanish version, voz)'];['Reparto', 'Equipos adicionales'];Sin Oscar
24;Elena Bayona;No data;['Un Encuentro', 'Ni en la más oscura de mis tardes', 'Martha', 'Elena'];['Reparto', 'Dirección', 'Guion'];Sin oscar
25;Yilin Yang;No data;['La chanson du dimanche', '2011–2012 • 20 episodios', '2014', 'Zang', 'Cliente chinoise 1'];['Reparto'];Sin oscar
26;Kevin Patrick McGarry;No data;"['Música a bordo', 'The Fence', ""Fisherman's Friends: One and All""]";['Reparto'];Sin oscar
27;Emily Sue Bengtson;No data;[''];['Reparto', 'Equipos adicionales'];Sin oscar
28;Luiza Grigorova;1990;[''];['Reparto', 'Producción'];Sin Oscar
29;Vasiliy Mishchenko;1955;[''];['Reparto', 'Producción', 'Dirección'];Sin oscar
30;Manjari Fadnnis;1984;[''];['Reparto', 'Banda sonora'];Sin Oscar
31;Delia Seriche;No data;['El efecto Darma', '6,7', 'Gente que no sabe lo que quiere', 'Razas, primer acto'];['Reparto'];Sin oscar
32;Susan Kurata;No data;['Sae', 'Mrs. Smith', 'Nurse', 'Nurse'];['Reparto'];Sin oscar
33;Xavier Jones Sr.;No data;['All 4da Green'];['Reparto'];Sin oscar
34;Dilan Gwyn;No data;[''];['Reparto'];Sin oscar
35;Laura Kariuki;1998;[''];['Reparto'];Sin oscar
36;Luke Wilson;1971;[''];['Reparto', 'Producción', 'Dirección'];Sin Oscar
37;Eszter Csonka;No data;['Szelíd', 'Beauty of the Beast'];['Reparto'];Sin Oscar
38;Arshad Warsi;1968;[''];['Reparto', 'Guion', 'Dirección de la segunda unidad o asistencia a dirección'];Sin Oscar
39;Donnie Cornwell;No data;['ClayFighter 63 1/3', '1997'];['Equipos adicionales'];Sin oscar
40;Kristina Kostiv;1991;['El síndrome de Berlín', 'Worldquake', 'DeXit: Der nächste Flüchtling bist du', 'An Ideal to Die For'];['Reparto', 'Maquillaje', 'Producción'];Sin Oscar
41;Zacharie Chasseriaud;1996;[''];['Reparto'];Sin oscar
42;Mary Liz Adams;No data;[''];['Reparto', 'Dirección de fotografía y cámara', 'Producción'];Sin oscar
43;Honeylet Conlu;No data;[''];['Reparto'];Sin oscar
44;Ibrahim Bakhait;No data;['Jacob Tyler', '7,6', 'Videojuego', 'Corto'];['Reparto', 'Producción', 'Guion'];Sin oscar
45;Václav Hrzina;No data;[''];['Reparto', 'Guion', 'Dirección'];Sin oscar
46;Makiko Watanabe;1968;[''];['Reparto', 'Guion'];Sin Oscar
47;Ella Morrow;No data;[''];['Reparto', 'Cámara y electricidad', 'Dirección'];Sin oscar
48;Patti Negri;octubre;[''];['Reparto', 'Producción', 'Diseño de vestuario'];Sin oscar
49;Arlette Najsztat;No data;['Destin de glace', 'Mother of Michael', 'La mère de Roch(as Arlette Najstat)', 'Pensionnaire Mimosas'];['Reparto'];Sin oscar
50;Hubert Proulx;No data;[''];['Reparto'];Sin Oscar
51;Daniel Hadebe;No data;['Distrito 9', 'Dredd', 'Invictus', 'La bestia'];['Reparto'];Sin oscar
52;Gwendoline Christie;1978;[''];['Reparto', 'Casting', 'Producción'];Nominado para 1 premio Primetime Emmy
53;Ugrram Manju;No data;['Kabzaa', 'Bypass Road', 'Tootu Madike', 'Rajannana Maga'];['Reparto'];Sin oscar
54;Maripier Morin;1986;[''];['Reparto'];Sin oscar
55;Ashlesh;2003;[''];['Reparto'];Sin Oscar
56;Marit Nissen;1966;['Bajo el sol de la Toscana', 'La fuga del paraíso', 'Sanatorio', '2019 • 3 episodios', '2008'];['Reparto'];Sin Oscar
57;Alyssa Riha;No data;[''];['Reparto', 'Guion y continuidad', 'Vestuario'];Sin oscar
58;Matteo Pittiruti;No data;['La música del silencio', 'Leonora addio', 'La vita promessa', '2020 • 1 episodio', 'Reparto'];['Reparto'];Sin oscar
59;Platon Alekseyev;No data;['Skvoz vremya', 'Frantsuzskiy master', 'Kiber Ivan', '2023', 'VolodyaVolodya Nezhinskiy'];['Reparto'];Sin oscar
60;Darren Cain;No data;[''];['Reparto', 'Producción'];Sin oscar
61;Jesse Plemons;1988;[''];['Reparto', 'Música', 'Producción'];Nominado para 1 premio Óscar
62;Zoey Burger;1999;[''];['Reparto', 'Dirección de casting', 'Guion'];Sin oscar
63;Silje Storstein;1984;[''];['Reparto', 'Guion', 'Cámara y electricidad'];Sin Oscar
64;Jonni Shandor;No data;[''];['Reparto', 'Guion', 'Dirección'];Sin oscar
65;Graham Earley;No data;[''];['Reparto', 'Dirección', 'Guion'];Sin Oscar
66;Mukesh Agrohari;No data;['Dilwale', 'Sanju', 'Aashiqui 2', 'Aamir'];['Reparto'];Sin oscar
67;Sunil Annur;No data;['Pada'];['Reparto'];Sin oscar
68;Daniel Fitzgibbon;No data;[''];['Reparto', 'Producción'];Sin oscar
69;Renny Grames;No data;[''];['Reparto', 'Producción', 'Equipos adicionales'];Sin Oscar
70;Charles Jonathon Truax;No data;['The Hollow', '225 Oak', 'Somewhere in Texas'];['Guion', 'Sonido', 'Producción'];Sin Oscar
71;Zamantha Díaz;No data;[''];['Reparto', 'Casting', 'Dirección de casting'];Sin oscar
72;Marc John Jefferies;1990;[''];['Reparto', 'Producción', 'Equipos adicionales'];Sin Oscar
73;Emily Burrage;No data;['Room 7'];['Reparto'];Sin oscar
74;Amitabh Bachchan;1942;[''];['Reparto', 'Producción', 'Guion'];Sin Oscar
75;Alex Lutz;1978;[''];['Reparto', 'Guion', 'Dirección'];Sin Oscar
76;Frankie J. Allison;No data;[''];['Reparto', 'Producción'];Sin oscar
77;Vino G. Bastian;1982;['Radit & Jani', 'Sabar Ini Ujian', 'Miracle in Cell No. 7', 'Toba Dreams'];['Reparto', 'Producción', 'Banda sonora'];Sin Oscar
78;Juanma Casero;No data;['La 2 es teatro'];['Dirección de la segunda unidad o asistencia a dirección'];Sin oscar
79;Paul Linte;No data;['La cygne des héros'];['Reparto'];Sin oscar
80;Brigitta Nilsson;1977;['Isolering', 'Arne Dahl: En midsommarnattsdröm', '2015 • 2 episodios', 'Call girl', 'Serie de TV'];['Reparto'];Sin oscar
81;Louis Garrel;1983;[''];['Reparto', 'Dirección', 'Guion'];Sin Oscar
82;Chrissy Metz;1980;[''];['Reparto', 'Producción', 'Guion'];Nominado para 1 premio Primetime Emmy
83;Sheena Faust;No data;[''];['Reparto', 'Guion', 'Producción'];Sin oscar
84;Almila Bagriacik;1990;[''];['Reparto', 'Banda sonora'];Sin Oscar
85;Tig Notaro;1971;[''];['Reparto', 'Guion', 'Producción'];Nominado para 1 premio Primetime Emmy
86;Cory Scott Allen;1983;[''];['Reparto', 'Producción'];Sin oscar
87;Tara Raani;No data;[''];['Reparto', 'Guion', 'Animación'];Sin Oscar
88;Danny Erskine;1978;['The Bourne Identity: El caso Bourne', 'Oga Detective', 'Don Dilly'];['Reparto', 'Casting', 'Producción'];Sin Oscar
89;Albert Mwangi;No data;[''];['Reparto', 'Especialistas'];Sin oscar
90;David Johnson;1924;[''];['Reparto', 'Equipos adicionales', 'Banda sonora'];Sin Oscar
91;Ella Kweku;No data;[''];['Reparto', 'Producción'];Sin Oscar
92;Jing Wu;1974;[''];['Reparto', 'Producción', 'Dirección'];Sin Oscar
93;Christian Soto;No data;['Bizarre Again'];['Reparto'];Sin oscar
94;Valeria Esparza;No data;['Ni en la más oscura de mis tardes'];['Reparto'];Sin oscar
95;Bahtiyar Engin;1965;[''];['Reparto', 'Dirección', 'Producción'];Sin Oscar
96;Spenser Granese;No data;[''];['Reparto', 'Dirección', 'Guion'];Sin oscar
97;Jordyn Denning;No data;[''];['Reparto'];Sin Oscar
98;Ursula von der Leyen;1958;['The Robert MacNeil Report', '2021–2022 • 3 episodios', '2023', 'Self', 'Self'];['Equipo ejecutivo'];Sin oscar
99;Kadir Suleyman;No data;[''];['Reparto', 'Producción', 'Dirección'];Sin oscar
100;Natasha Arancini;No data;[''];['Reparto', 'Dirección', 'Producción'];Sin oscar
101;Gonçalo Waddington;1977;[''];['Reparto', 'Guion', 'Dirección'];Sin Oscar
102;Rhiannon Wyn;No data;['Clear Out', 'Mind-Set', 'At the Crossing'];['Reparto', 'Dirección', 'Guion'];Sin oscar
103;Mariano Villalobos;No data;['The Legend of Jack and Diane', 'In His Hands: The Emergence', '5,6', 'Videoclip'];['Reparto'];Sin oscar
104;Cemre Demircan;No data;[''];['Reparto'];Sin oscar
105;Steven Cree;1980;[''];['Reparto', 'Guion', 'Producción'];Sin Oscar
106;Aadhi;1982;[''];['Reparto', 'Música', 'Banda sonora'];Sin Oscar
107;Maya Schnake;No data;['Summer Skies', 'Margot'];['Reparto'];Sin oscar
108;Oscar Ganem;No data;[''];['Reparto', 'Producción', 'Dirección'];Sin oscar
109;Rachel Braunschweig;1968;[''];['Reparto'];Sin Oscar
110;Ali Büyükkartal;No data;['Nalan', 'Yesilçam', '2021 • 1 episodio'];['Reparto'];Sin oscar
